YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 8;21;18;39;46.00; -92.7005;  16.3859;215.9;mb   ;4.2;CHIAPAS, MEXICO
2017; 8;21;18;24;21.00; -67.9490; -22.4800;170.9;ML   ;4.0;CHILE-BOLIVIA BORDER REGION
2017; 8;21;18; 9;32.00; 169.6909; -18.7221;195.7;mb   ;4.3;VANUATU ISLANDS
2017; 8;21;17;53;40.00; 178.3609;  52.0470;124.2;Ml   ;4.1;RAT ISLANDS, ALEUTIAN ISLANDS
2017; 8;21;17; 8;16.00;-103.2498;  18.2439; 10.0;mb   ;4.2;NEAR COAST OF MICHOACAN, MEXICO
2017; 8;21;15;41;26.00; 129.2953;  -7.1350;151.0;mb   ;4.1;BANDA SEA
2017; 8;21;15; 6;13.00; 128.0291;  -7.2366;178.7;mb   ;4.1;BANDA SEA
2017; 8;21;14;44;55.00;  18.8297;  76.9978;  5.7;mb   ;4.3;SVALBARD REGION
2017; 8;21;14;26;26.00;-178.4818; -32.9856; 10.0;mb   ;4.7;SOUTH OF KERMADEC ISLANDS
2017; 8;21;13;59;32.00; -93.0334;  14.4176; 10.0;Mww  ;5.3;NEAR COAST OF CHIAPAS, MEXICO
2017; 8;21;12;11; 1.00;-172.8887; -18.2217; 10.0;mb   ;4.9;TONGA ISLANDS REGION
2017; 8;21;12; 2;24.00; -70.3890; -33.1283; 98.1;Mww  ;4.9;CHILE-ARGENTINA BORDER REGION
2017; 8;21;10;43;33.00;-149.5463;  62.0726; 53.5;Ml   ;4.3;CENTRAL ALASKA
2017; 8;21; 4;52;40.00; 152.0024;  46.1257; 35.0;mb   ;4.5;KURIL ISLANDS
2017; 8;21; 4;51;35.00; 120.5523;  -1.3753; 43.3;mb   ;4.6;SULAWESI, INDONESIA
2017; 8;21; 3;32; 9.00; -26.5923; -56.4939;110.8;mb   ;4.5;SOUTH SANDWICH ISLANDS REGION
2017; 8;21; 3;16;35.00; -98.4475; -36.4170; 10.0;mb   ;4.6;SOUTHEAST OF EASTER ISLAND
2017; 8;21; 1;14;35.00;  94.7271;  30.4408; 10.0;mb   ;4.6;XIZANG
2017; 8;21; 1;12;14.00;  94.9415;  30.4146; 10.0;mb   ;4.9;XIZANG
2017; 8;20;23;37;33.00;-179.5155; -35.6008; 10.0;mb   ;5.1;EAST OF NORTH ISLAND, N.Z.
2017; 8;20;23;29; 2.00; -91.6041;  14.1032; 59.4;mb   ;5.1;GUATEMALA
2017; 8;20;23;22;46.00; 168.4285;  54.5619; 10.0;mb   ;4.2;KOMANDORSKIYE OSTROVA REGION
2017; 8;20;19;54;39.00; 153.8192;  -4.9598; 84.4;mb   ;4.5;NEW IRELAND REGION, P.N.G.
2017; 8;20;19;28;47.00; -66.3414; -23.0064;227.4;mb   ;4.3;JUJUY PROVINCE, ARGENTINA
2017; 8;20;17;42;15.00; -75.7719; -13.7594; 71.1;mb   ;5.1;CENTRAL PERU
2017; 8;20;17; 0; 5.00; 127.3294;  27.0278; 95.1;mb   ;4.7;RYUKYU ISLANDS, JAPAN
2017; 8;20;15;40; 7.00; 142.3515;  27.7604; 59.0;mb   ;4.9;BONIN ISLANDS, JAPAN REGION
2017; 8;20;15;39;20.00; -86.7523;  12.3813;162.6;mb   ;4.9;NICARAGUA
